Qe_sal_lw      SSA_sal_lw      g_sal_lw
  0.6956      0.3477      0.3725
  1.0663      0.4034      0.4478
  1.0732      0.3637      0.5528
  1.0288      0.3971      0.6314
  1.4790      0.4635      0.6203
  1.5745      0.4985      0.6404
  1.9107      0.4641      0.6254
  1.4348      0.3641      0.7135
  0.9237      0.4087      0.8102
  1.5206      0.6200      0.7809
  1.4335      0.7328      0.7917
  1.6663      0.8452      0.7658
  1.8777      0.9168      0.7331
  1.9584      0.9334      0.7236
  1.9973      0.9346      0.7228
  2.1066      0.8671      0.7400
