Qe_sal_sw      SSA_sal_sw      g_sal_sw
  2.1543      0.8397      0.7470
  2.3655      0.7943      0.7581
  2.5038      0.8675      0.7354
  2.6080      0.8899      0.7280
  2.6481      0.8984      0.7285
  2.6683      0.8994      0.7329
  2.6710      0.8989      0.7357
  2.6612      0.8975      0.7426
  2.6511      0.8773      0.7594
  2.6381      0.8171      0.7872
  2.6249      0.7163      0.8297
  2.5775      0.6473      0.8609
  2.5393      0.6190      0.8756
  1.7207      0.8054      0.7460
